,Unnamed: 0,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun,name,km^2,bev,m,w,dichte,plz,longitude,latitude,reiseGebiete,verstädterung
0,0.0,2015-01-02,,,,4.3,,,,,,,,,,,,,,,,,
1,1.0,2015-01-03,,,,0.2,,,,,,,,,,,,,,,,,
2,2.0,2015-01-04,,,,0.2,,,,,,,,,,,,,,,,,
3,3.0,2015-01-05,,,,0.0,,,,,,,,,,,,,,,,,
4,4.0,2015-01-06,,,,0.0,,,,,,,,,,,,,,,,,
5,5.0,2015-01-07,,,,1.7,,,,,,,,,,,,,,,,,
6,6.0,2015-01-08,,,,15.1,,,,,,,,,,,,,,,,,
7,7.0,2015-01-09,,,,4.0,,,,,,,,,,,,,,,,,
8,8.0,2015-01-10,,,,7.3,,,,,,,,,,,,,,,,,
9,9.0,2015-01-11,,,,1.0,,,,,,,,,,,,,,,,,
10,10.0,2015-01-12,,,,1.4,,,,,,,,,,,,,,,,,
11,11.0,2015-01-13,,,,7.6,,,,,,,,,,,,,,,,,
12,12.0,2015-01-14,,,,4.2,,,,,,,,,,,,,,,,,
13,13.0,2015-01-15,,,,2.5,,,,,,,,,,,,,,,,,
14,14.0,2015-01-16,,,,0.0,,,,,,,,,,,,,,,,,
15,15.0,2015-01-17,,,,0.0,,,,,,,,,,,,,,,,,
16,16.0,2015-01-18,,,,1.8,,,,,,,,,,,,,,,,,
17,17.0,2015-01-19,,,,0.0,,,,,,,,,,,,,,,,,
18,18.0,2015-01-20,,,,0.0,,,,,,,,,,,,,,,,,
19,19.0,2015-01-21,,,,0.0,,,,,,,,,,,,,,,,,
20,20.0,2015-01-22,,,,0.0,,,,,,,,,,,,,,,,,
21,21.0,2015-01-23,,,,0.0,,,,,,,,,,,,,,,,,
22,22.0,2015-01-24,,,,3.1,,,,,,,,,,,,,,,,,
23,23.0,2015-01-25,,,,0.0,,,,,,,,,,,,,,,,,
24,24.0,2015-01-26,,,,7.9,,,,,,,,,,,,,,,,,
25,25.0,2015-01-27,,,,0.4,,,,,,,,,,,,,,,,,
26,26.0,2015-01-28,,,,5.5,,,,,,,,,,,,,,,,,
27,27.0,2015-01-29,,,,1.8,,,,,,,,,,,,,,,,,
28,28.0,2015-01-30,,,,6.6,,,,,,,,,,,,,,,,,
29,29.0,2015-01-31,,,,1.1,,,,,,,,,,,,,,,,,
30,30.0,2015-02-01,,,,0.0,,,,,,,,,,,,,,,,,
31,31.0,2015-02-02,,,,4.1,,,,,,,,,,,,,,,,,
32,32.0,2015-02-03,,,,1.3,,,,,,,,,,,,,,,,,
33,33.0,2015-02-04,,,,0.0,,,,,,,,,,,,,,,,,
34,34.0,2015-02-05,,,,0.1,,,,,,,,,,,,,,,,,
35,35.0,2015-02-06,,,,0.0,,,,,,,,,,,,,,,,,
36,36.0,2015-02-07,,,,0.3,,,,,,,,,,,,,,,,,
37,37.0,2015-02-08,,,,0.1,,,,,,,,,,,,,,,,,
38,38.0,2015-02-09,,,,0.5,,,,,,,,,,,,,,,,,
39,39.0,2015-02-10,,,,0.3,,,,,,,,,,,,,,,,,
40,40.0,2015-02-11,,,,0.0,,,,,,,,,,,,,,,,,
41,41.0,2015-02-12,,,,0.0,,,,,,,,,,,,,,,,,
42,42.0,2015-02-13,,,,0.0,,,,,,,,,,,,,,,,,
43,43.0,2015-02-14,,,,0.0,,,,,,,,,,,,,,,,,
44,44.0,2015-02-15,,,,0.0,,,,,,,,,,,,,,,,,
45,45.0,2015-02-16,,,,0.0,,,,,,,,,,,,,,,,,
46,46.0,2015-02-17,,,,0.0,,,,,,,,,,,,,,,,,
47,47.0,2015-02-18,,,,0.0,,,,,,,,,,,,,,,,,
48,48.0,2015-02-19,,,,0.0,,,,,,,,,,,,,,,,,
49,49.0,2015-02-20,,,,5.3,,,,,,,,,,,,,,,,,
50,50.0,2015-02-21,,,,3.5,,,,,,,,,,,,,,,,,
51,51.0,2015-02-22,,,,0.0,,,,,,,,,,,,,,,,,
52,52.0,2015-02-23,,,,3.8,,,,,,,,,,,,,,,,,
53,53.0,2015-02-24,,,,2.5,,,,,,,,,,,,,,,,,
54,54.0,2015-02-25,,,,4.6,,,,,,,,,,,,,,,,,
55,55.0,2015-02-26,,,,0.3,,,,,,,,,,,,,,,,,
56,56.0,2015-02-27,,,,7.3,,,,,,,,,,,,,,,,,
57,57.0,2015-02-28,,,,0.0,,,,,,,,,,,,,,,,,
58,58.0,2015-03-01,,,,1.7,,,,,,,,,,,,,,,,,
59,59.0,2015-03-02,,,,2.6,,,,,,,,,,,,,,,,,
60,60.0,2015-03-03,,,,2.7,,,,,,,,,,,,,,,,,
61,61.0,2015-03-04,,,,8.9,,,,,,,,,,,,,,,,,
62,62.0,2015-03-05,,,,0.0,,,,,,,,,,,,,,,,,
63,63.0,2015-03-06,,,,0.0,,,,,,,,,,,,,,,,,
64,64.0,2015-03-07,,,,0.0,,,,,,,,,,,,,,,,,
65,65.0,2015-03-08,,,,0.0,,,,,,,,,,,,,,,,,
66,66.0,2015-03-09,,,,0.0,,,,,,,,,,,,,,,,,
67,67.0,2015-03-10,,,,0.9,,,,,,,,,,,,,,,,,
68,68.0,2015-03-11,,,,0.0,,,,,,,,,,,,,,,,,
69,69.0,2015-03-12,,,,0.0,,,,,,,,,,,,,,,,,
70,70.0,2015-03-13,,,,0.0,,,,,,,,,,,,,,,,,
71,71.0,2015-03-14,,,,0.0,,,,,,,,,,,,,,,,,
72,72.0,2015-03-15,,,,0.2,,,,,,,,,,,,,,,,,
73,73.0,2015-03-16,,,,0.0,,,,,,,,,,,,,,,,,
74,74.0,2015-03-17,,,,0.0,,,,,,,,,,,,,,,,,
75,75.0,2015-03-18,,,,0.0,,,,,,,,,,,,,,,,,
76,76.0,2015-03-19,,,,0.0,,,,,,,,,,,,,,,,,
77,77.0,2015-03-20,,,,0.0,,,,,,,,,,,,,,,,,
78,78.0,2015-03-21,,,,6.8,,,,,,,,,,,,,,,,,
79,79.0,2015-03-22,,,,0.0,,,,,,,,,,,,,,,,,
80,80.0,2015-03-23,,,,0.0,,,,,,,,,,,,,,,,,
81,81.0,2015-03-24,,,,0.0,,,,,,,,,,,,,,,,,
82,82.0,2015-03-25,,,,1.1,,,,,,,,,,,,,,,,,
83,83.0,2015-03-26,,,,0.3,,,,,,,,,,,,,,,,,
84,84.0,2015-03-27,,,,0.8,,,,,,,,,,,,,,,,,
85,85.0,2015-03-28,,,,0.8,,,,,,,,,,,,,,,,,
86,86.0,2015-03-30,,,,3.7,,,,,,,,,,,,,,,,,
87,87.0,2015-03-31,,,,12.2,,,,,,,,,,,,,,,,,
88,88.0,2015-04-01,,,,4.6,,,,,,,,,,,,,,,,,
89,89.0,2015-04-02,,,,9.1,,,,,,,,,,,,,,,,,
90,90.0,2015-04-03,,,,0.1,,,,,,,,,,,,,,,,,
91,91.0,2015-04-04,,,,0.0,,,,,,,,,,,,,,,,,
92,92.0,2015-04-05,,,,0.0,,,,,,,,,,,,,,,,,
93,93.0,2015-04-06,,,,0.3,,,,,,,,,,,,,,,,,
94,94.0,2015-04-07,,,,0.0,,,,,,,,,,,,,,,,,
95,95.0,2015-04-08,,,,0.0,,,,,,,,,,,,,,,,,
96,96.0,2015-04-09,,,,0.0,,,,,,,,,,,,,,,,,
97,97.0,2015-04-10,,,,0.0,,,,,,,,,,,,,,,,,
98,98.0,2015-04-11,,,,1.0,,,,,,,,,,,,,,,,,
99,99.0,2015-04-12,,,,0.0,,,,,,,,,,,,,,,,,
100,100.0,2015-04-13,,,,0.7,,,,,,,,,,,,,,,,,
101,101.0,2015-04-14,,,,0.0,,,,,,,,,,,,,,,,,
102,102.0,2015-04-15,,,,0.0,,,,,,,,,,,,,,,,,
103,103.0,2015-04-16,,,,0.1,,,,,,,,,,,,,,,,,
104,104.0,2015-04-17,,,,0.0,,,,,,,,,,,,,,,,,
105,105.0,2015-04-18,,,,0.0,,,,,,,,,,,,,,,,,
106,106.0,2015-04-19,,,,0.0,,,,,,,,,,,,,,,,,
107,107.0,2015-04-20,,,,0.0,,,,,,,,,,,,,,,,,
108,108.0,2015-04-21,,,,0.0,,,,,,,,,,,,,,,,,
109,109.0,2015-04-22,,,,0.0,,,,,,,,,,,,,,,,,
110,110.0,2015-04-23,,,,0.0,,,,,,,,,,,,,,,,,
111,111.0,2015-04-24,,,,0.0,,,,,,,,,,,,,,,,,
112,112.0,2015-04-25,,,,1.2,,,,,,,,,,,,,,,,,
113,113.0,2015-04-26,,,,6.0,,,,,,,,,,,,,,,,,
114,114.0,2015-04-27,,,,3.8,,,,,,,,,,,,,,,,,
115,115.0,2015-04-28,,,,1.7,,,,,,,,,,,,,,,,,
116,116.0,2015-04-29,,,,0.0,,,,,,,,,,,,,,,,,
117,117.0,2015-04-30,,,,0.8,,,,,,,,,,,,,,,,,
118,118.0,2015-05-01,,,,0.0,,,,,,,,,,,,,,,,,
119,119.0,2015-05-02,,,,0.0,,,,,,,,,,,,,,,,,
120,120.0,2015-05-03,,,,2.6,,,,,,,,,,,,,,,,,
121,121.0,2015-05-04,,,,0.0,,,,,,,,,,,,,,,,,
122,122.0,2015-05-05,,,,9.4,,,,,,,,,,,,,,,,,
123,123.0,2015-05-06,,,,0.7,,,,,,,,,,,,,,,,,
124,124.0,2015-05-07,,,,0.0,,,,,,,,,,,,,,,,,
125,125.0,2015-05-08,,,,0.1,,,,,,,,,,,,,,,,,
126,126.0,2015-05-09,,,,0.4,,,,,,,,,,,,,,,,,
127,127.0,2015-05-10,,,,0.4,,,,,,,,,,,,,,,,,
128,128.0,2015-05-11,,,,0.0,,,,,,,,,,,,,,,,,
129,129.0,2015-05-12,,,,0.0,,,,,,,,,,,,,,,,,
130,130.0,2015-05-13,,,,0.0,,,,,,,,,,,,,,,,,
131,131.0,2015-05-14,,,,0.0,,,,,,,,,,,,,,,,,
132,132.0,2015-05-15,,,,0.0,,,,,,,,,,,,,,,,,
133,133.0,2015-05-16,,,,0.6,,,,,,,,,,,,,,,,,
134,134.0,2015-05-17,,,,0.0,,,,,,,,,,,,,,,,,
135,135.0,2015-05-18,,,,0.9,,,,,,,,,,,,,,,,,
