,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun,name,km^2,bev,m,w,dichte,plz,longitude,latitude,reiseGebiete,verstädterung
0,2017-12-01,1.7,0.5,2.6,0.0,0.0,,,,,,,,,,,,,,,,
1,2017-12-02,0.1,-1.9,1.8,3.1,0.0,,,,,,,,,,,,,,,,
2,2017-12-03,2.2,-0.2,4.8,5.7,0.0,,,,,,,,,,,,,,,,
3,2017-12-04,4.8,3.9,6.7,5.9,0.0,,,,,,,,,,,,,,,,
4,2017-12-05,7.1,6.6,7.8,0.7,0.0,,,,,,,,,,,,,,,,
5,2017-12-06,7.0,6.3,7.6,0.0,0.0,,,,,,,,,,,,,,,,
6,2017-12-07,5.7,4.6,7.4,4.5,0.0,,,,,,,,,,,,,,,,
7,2017-12-08,2.5,0.2,6.1,8.9,0.0,,,,,,,,,,,,,,,,
8,2017-12-09,1.1,0.1,2.6,3.1,0.0,,,,,,,,,,,,,,,,
9,2017-12-10,0.0,-1.7,1.3,3.5,0.0,,,,,,,,,,,,,,,,
10,2017-12-11,-0.5,-1.4,0.1,3.9,20.0,,,,,,,,,,,,,,,,
11,2017-12-12,0.6,0.1,1.3,2.0,20.0,,,,,,,,,,,,,,,,
12,2017-12-13,1.2,0.2,2.9,12.1,10.0,,,,,,,,,,,,,,,,
13,2017-12-14,2.6,0.7,3.6,0.3,0.0,,,,,,,,,,,,,,,,
14,2017-12-15,2.1,0.9,3.0,0.0,0.0,,,,,,,,,,,,,,,,
15,2017-12-16,2.1,1.0,3.6,0.2,0.0,,,,,,,,,,,,,,,,
16,2017-12-17,0.4,-1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,
17,2017-12-18,1.7,0.5,3.8,0.1,0.0,,,,,,,,,,,,,,,,
18,2017-12-19,3.8,1.9,5.3,2.8,0.0,,,,,,,,,,,,,,,,
19,2017-12-20,5.6,4.7,6.5,0.3,0.0,,,,,,,,,,,,,,,,
20,2017-12-21,6.1,4.6,7.2,0.0,0.0,,,,,,,,,,,,,,,,
21,2017-12-22,5.1,4.1,5.7,0.0,0.0,,,,,,,,,,,,,,,,
22,2017-12-23,6.5,3.2,8.4,1.3,0.0,,,,,,,,,,,,,,,,
23,2017-12-24,7.9,7.3,9.0,0.2,0.0,,,,,,,,,,,,,,,,
24,2017-12-25,7.7,5.7,8.5,0.1,0.0,,,,,,,,,,,,,,,,
25,2017-12-26,5.0,2.8,6.8,0.7,0.0,,,,,,,,,,,,,,,,
26,2017-12-27,3.9,2.5,6.1,0.0,0.0,,,,,,,,,,,,,,,,
27,2017-12-28,3.0,2.0,4.1,0.8,0.0,,,,,,,,,,,,,,,,
28,2017-12-29,2.1,0.3,3.3,0.2,0.0,,,,,,,,,,,,,,,,
29,2017-12-30,4.8,1.2,9.0,3.8,0.0,,,,,,,,,,,,,,,,
30,2017-12-31,8.5,5.5,11.2,24.9,0.0,,,,,,,,,,,,,,,,
31,2018-01-01,6.2,2.9,8.9,0.7,0.0,,,,,,,,,,,,,,,,
32,2018-01-02,4.4,3.0,5.6,12.6,0.0,,,,,,,,,,,,,,,,
33,2018-01-03,5.7,3.8,7.9,21.2,0.0,,,,,,,,,,,,,,,,
34,2018-01-04,5.9,4.9,8.0,4.5,0.0,,,,,,,,,,,,,,,,
35,2018-01-05,5.7,3.4,8.0,0.4,0.0,,,,,,,,,,,,,,,,
36,2018-01-06,4.4,1.6,6.1,0.0,0.0,,,,,,,,,,,,,,,,
37,2018-01-07,-0.6,-3.8,1.6,0.0,0.0,,,,,,,,,,,,,,,,
38,2018-01-08,-2.9,-5.6,-0.2,0.0,0.0,,,,,,,,,,,,,,,,
39,2018-01-09,0.3,-2.9,2.7,0.0,0.0,,,,,,,,,,,,,,,,
40,2018-01-10,2.4,-0.3,4.8,0.0,0.0,,,,,,,,,,,,,,,,
41,2018-01-11,0.8,-1.6,2.7,3.4,0.0,,,,,,,,,,,,,,,,
42,2018-01-12,1.1,0.5,2.1,0.0,0.0,,,,,,,,,,,,,,,,
43,2018-01-13,0.3,-1.0,1.1,0.0,0.0,,,,,,,,,,,,,,,,
44,2018-01-14,-1.0,-2.8,0.5,0.0,0.0,,,,,,,,,,,,,,,,
45,2018-01-15,0.9,-2.8,4.1,5.1,0.0,,,,,,,,,,,,,,,,
46,2018-01-16,2.8,0.8,5.1,4.1,0.0,,,,,,,,,,,,,,,,
47,2018-01-17,1.4,0.1,2.5,1.9,0.0,,,,,,,,,,,,,,,,
48,2018-01-18,1.1,0.0,3.2,13.7,0.0,,,,,,,,,,,,,,,,
49,2018-01-19,1.1,0.2,2.4,0.8,20.0,,,,,,,,,,,,,,,,
50,2018-01-20,0.8,-1.4,1.9,0.0,0.0,,,,,,,,,,,,,,,,
51,2018-01-21,-1.4,-3.9,0.6,0.0,0.0,,,,,,,,,,,,,,,,
52,2018-01-22,0.0,-0.8,0.9,0.5,0.0,,,,,,,,,,,,,,,,
53,2018-01-23,4.4,0.5,7.3,3.0,0.0,,,,,,,,,,,,,,,,
54,2018-01-24,10.8,7.3,13.1,2.7,0.0,,,,,,,,,,,,,,,,
55,2018-01-25,7.1,5.6,8.1,0.5,0.0,,,,,,,,,,,,,,,,
56,2018-01-26,5.8,4.3,6.6,0.1,0.0,,,,,,,,,,,,,,,,
57,2018-01-27,4.9,3.8,6.5,1.9,0.0,,,,,,,,,,,,,,,,
58,2018-01-28,7.6,5.0,10.0,4.1,0.0,,,,,,,,,,,,,,,,
59,2018-01-29,8.1,4.8,10.0,12.3,0.0,,,,,,,,,,,,,,,,
60,2018-01-30,4.1,2.1,5.8,0.0,0.0,,,,,,,,,,,,,,,,
61,2018-01-31,4.7,1.5,8.8,5.2,0.0,,,,,,,,,,,,,,,,
62,2018-02-01,2.1,0.4,3.5,0.0,0.0,,,,,,,,,,,,,,,,
63,2018-02-02,2.5,1.2,3.4,1.5,0.0,,,,,,,,,,,,,,,,
64,2018-02-03,-0.5,-1.5,1.2,1.2,0.0,,,,,,,,,,,,,,,,
65,2018-02-04,-0.4,-1.9,0.9,0.6,10.0,,,,,,,,,,,,,,,,
66,2018-02-05,-0.4,-3.1,1.5,0.0,0.0,,,,,,,,,,,,,,,,
67,2018-02-06,-3.5,-5.7,-1.0,0.0,0.0,,,,,,,,,,,,,,,,
68,2018-02-07,-4.2,-7.0,-0.2,0.0,0.0,,,,,,,,,,,,,,,,
69,2018-02-08,-3.6,-7.6,0.6,0.0,0.0,,,,,,,,,,,,,,,,
70,2018-02-09,-3.2,-6.9,1.6,0.0,0.0,,,,,,,,,,,,,,,,
71,2018-02-10,-1.7,-6.0,2.1,0.0,0.0,,,,,,,,,,,,,,,,
72,2018-02-11,1.6,0.1,4.1,2.0,0.0,,,,,,,,,,,,,,,,
73,2018-02-12,1.0,-1.4,3.9,1.7,0.0,,,,,,,,,,,,,,,,
