,Unnamed: 0,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun,name,km^2,bev,m,w,dichte,plz,longitude,latitude,reiseGebiete,verstädterung
0,0.0,2018-01-28,7.3,5.0,9.1,0.0,0.0,235.0,17.7,46.0,1027.6,,,,,,,,,,,,
1,1.0,2018-01-29,9.6,8.7,10.7,0.0,0.0,240.4,20.5,55.0,1022.8,,,,,,,,,,,,
2,2.0,2018-01-30,4.6,1.0,7.0,1.5,0.0,256.3,13.0,51.0,1026.3,,,,,,,,,,,,
3,3.0,2018-02-01,4.0,1.2,7.5,0.8,0.0,230.8,10.1,33.0,1001.4,,,,,,,,,,,,
4,4.0,2018-02-02,2.5,-0.1,4.3,0.0,0.0,209.2,13.3,37.0,1004.1,,,,,,,,,,,,
5,5.0,2018-02-03,2.0,-1.1,3.5,1.0,10.0,263.3,6.8,26.0,1005.7,,,,,,,,,,,,
6,6.0,2018-02-04,-1.2,-4.8,0.2,2.6,30.0,89.2,7.1,26.0,1017.0,,,,,,,,,,,,
7,7.0,2018-02-05,-2.5,-5.4,-0.1,0.0,0.0,81.7,4.8,21.0,1027.9,,,,,,,,,,,,
8,8.0,2018-02-08,-3.1,-6.3,-0.2,0.0,0.0,220.4,3.7,11.0,1020.7,,,,,,,,,,,,
9,9.0,2018-02-09,-1.4,-6.5,0.9,0.0,0.0,157.5,4.6,24.0,1018.1,,,,,,,,,,,,
10,10.0,2018-02-10,1.3,-0.1,3.2,0.0,0.0,197.1,6.1,21.0,1016.4,,,,,,,,,,,,
11,11.0,2018-02-11,2.5,0.7,4.0,0.0,0.0,209.2,13.0,44.0,1006.4,,,,,,,,,,,,
12,12.0,2018-02-12,1.3,-0.9,4.1,0.0,0.0,236.7,9.7,31.0,1011.1,,,,,,,,,,,,
13,13.0,2018-02-13,,,,0.0,0.0,175.4,6.5,21.0,,,,,,,,,,,,,
14,14.0,2018-02-14,-2.7,-7.7,3.6,0.0,0.0,108.8,3.8,16.0,1020.5,,,,,,,,,,,,
15,15.0,2018-02-15,-0.9,-6.4,3.5,0.4,0.0,151.3,8.5,40.0,1019.4,,,,,,,,,,,,
16,16.0,2018-02-16,2.7,-0.4,6.6,0.0,0.0,240.8,9.0,37.0,1023.6,,,,,,,,,,,,
17,17.0,2018-02-17,0.7,-3.2,3.5,0.0,0.0,92.9,5.2,17.0,1025.3,,,,,,,,,,,,
18,18.0,2018-02-18,1.6,-2.0,3.5,0.0,0.0,156.3,4.4,15.0,1028.3,,,,,,,,,,,,
19,19.0,2018-02-21,-1.6,-6.5,2.2,0.0,0.0,62.9,7.6,25.0,1024.5,,,,,,,,,,,,
20,20.0,2018-02-22,-1.4,-5.3,2.1,0.0,0.0,50.4,8.2,36.0,1024.9,,,,,,,,,,,,
21,21.0,2018-02-23,-4.0,-6.7,-1.3,0.0,0.0,42.5,9.0,31.0,1025.3,,,,,,,,,,,,
22,22.0,2018-02-24,-4.4,-8.6,0.5,0.0,0.0,40.4,11.0,43.0,1028.7,,,,,,,,,,,,
23,23.0,2018-02-25,-6.9,-10.2,-3.4,0.0,0.0,42.1,8.3,32.0,1031.4,,,,,,,,,,,,
24,24.0,2018-02-26,-7.1,-10.0,-4.2,0.0,0.0,68.8,10.0,33.0,1028.0,,,,,,,,,,,,
25,25.0,2018-02-27,-8.7,-12.9,-4.1,0.0,0.0,40.4,8.6,29.0,1023.1,,,,,,,,,,,,
26,26.0,2018-02-28,-9.4,-12.8,-5.9,0.0,0.0,58.3,11.0,37.0,1025.3,,,,,,,,,,,,
27,27.0,2018-03-01,-7.8,-11.5,-3.4,0.0,0.0,65.8,11.3,38.0,1017.4,,,,,,,,,,,,
28,28.0,2018-03-02,-7.1,-12.0,-2.5,0.0,0.0,56.3,11.8,34.0,1005.5,,,,,,,,,,,,
29,29.0,2018-03-03,-6.3,-11.0,-1.8,0.0,,69.6,9.2,34.0,1004.3,,,,,,,,,,,,
30,30.0,2018-03-04,-0.5,-6.9,8.0,0.0,,109.2,6.8,23.0,1002.9,,,,,,,,,,,,
31,31.0,2018-03-05,4.3,-0.5,10.9,0.2,0.0,160.8,7.7,25.0,998.4,,,,,,,,,,,,
32,32.0,2018-03-06,-0.6,-3.7,2.5,10.3,80.0,79.2,4.1,17.0,993.9,,,,,,,,,,,,
33,33.0,2018-03-07,2.1,0.0,5.6,4.0,110.0,214.6,4.9,16.0,994.7,,,,,,,,,,,,
34,34.0,2018-03-08,6.3,2.6,9.7,0.1,40.0,219.2,14.2,44.0,1002.3,,,,,,,,,,,,
35,35.0,2018-03-09,5.4,2.3,9.5,0.1,0.0,218.8,12.9,46.0,1007.5,,,,,,,,,,,,
36,36.0,2018-03-10,9.3,3.5,16.4,2.1,0.0,181.3,9.3,29.0,1005.0,,,,,,,,,,,,
37,37.0,2018-03-11,11.7,6.8,18.1,0.0,,155.4,7.4,21.0,999.5,,,,,,,,,,,,
38,38.0,2018-03-12,9.0,6.8,10.8,8.3,0.0,222.9,8.3,28.0,993.1,,,,,,,,,,,,
39,39.0,2018-03-13,8.3,3.9,10.7,2.9,0.0,231.7,11.7,40.0,1000.5,,,,,,,,,,,,
40,40.0,2018-03-14,4.1,3.1,5.8,1.2,0.0,215.4,7.0,35.0,1011.5,,,,,,,,,,,,
41,41.0,2018-03-15,4.2,0.5,9.2,0.0,0.0,79.6,9.4,37.0,1006.8,,,,,,,,,,,,
42,42.0,2018-03-16,0.7,-2.8,3.5,8.2,40.0,58.8,12.7,40.0,1005.2,,,,,,,,,,,,
43,43.0,2018-03-17,-4.9,-6.4,-3.2,1.7,70.0,50.8,17.0,45.0,1011.3,,,,,,,,,,,,
44,44.0,2018-03-18,-4.3,-6.8,-1.7,0.0,50.0,68.3,15.5,47.0,1014.3,,,,,,,,,,,,
45,45.0,2018-03-19,-4.5,-8.7,0.7,0.0,40.0,89.6,8.0,28.0,1014.9,,,,,,,,,,,,
46,46.0,2018-03-20,-3.7,-9.1,0.5,1.4,50.0,272.5,7.4,33.0,1016.4,,,,,,,,,,,,
47,47.0,2018-03-21,-1.7,-8.9,3.5,0.0,50.0,258.8,6.5,27.0,1027.2,,,,,,,,,,,,
