,Unnamed: 0,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun,name,km^2,bev,m,w,dichte,plz,longitude,latitude,reiseGebiete,verstädterung
0,0.0,2015-01-03,1.1,0.0,2.4,,,,6.5,,,,,,,,,,,,,,
1,1.0,2015-01-04,0.9,0.0,1.3,,,292.1,18.0,,,,,,,,,,,,,,
2,2.0,2015-01-05,0.7,-1.0,1.7,,,273.8,13.0,,,,,,,,,,,,,,
3,3.0,2015-01-06,-2.0,-4.7,1.4,,,,,,,,,,,,,,,,,,
4,4.0,2015-01-07,-1.0,-5.7,1.6,,,,4.4,,,,,,,,,,,,,,
5,5.0,2015-01-08,2.1,-1.5,5.6,,,,6.1,,,,,,,,,,,,,,
6,6.0,2015-01-09,5.5,3.3,7.8,,,,15.2,,,,,,,,,,,,,,
7,7.0,2015-01-12,3.4,1.8,5.0,,,,14.4,,,,,,,,,,,,,,
8,8.0,2015-01-13,2.5,-2.3,10.6,,,,3.3,,1018.6,,,,,,,,,,,,
9,9.0,2015-01-15,0.4,-2.6,3.0,,,,4.5,,,,,,,,,,,,,,
10,10.0,2015-01-16,0.9,-2.4,5.1,,,,3.1,,1010.3,,,,,,,,,,,,
11,11.0,2015-01-17,2.3,-0.6,4.1,,,,4.6,,1014.6,,,,,,,,,,,,
12,12.0,2015-01-18,1.7,0.8,3.0,,,,1.7,,,,,,,,,,,,,,
13,13.0,2015-01-19,0.3,-1.9,1.8,,,,3.0,,1014.5,,,,,,,,,,,,
14,14.0,2015-01-20,-0.3,-1.0,0.3,,,,3.3,,,,,,,,,,,,,,
15,15.0,2015-01-21,-0.7,-3.2,0.6,,,,4.6,,1014.0,,,,,,,,,,,,
16,16.0,2015-01-22,-0.4,-5.2,2.6,,,,3.3,,,,,,,,,,,,,,
17,17.0,2015-01-23,0.1,-0.5,1.8,,,,5.2,,,,,,,,,,,,,,
18,18.0,2015-01-24,-0.6,-1.4,0.0,,,,6.7,,1022.7,,,,,,,,,,,,
19,19.0,2015-01-25,0.4,-0.8,1.9,,,,9.4,,1027.6,,,,,,,,,,,,
20,20.0,2015-01-26,0.4,-0.6,1.8,,,,5.9,,,,,,,,,,,,,,
21,21.0,2015-01-27,0.8,0.0,2.0,,,,12.5,,,,,,,,,,,,,,
