,Unnamed: 0,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun,name,km^2,bev,m,w,dichte,plz,longitude,latitude,reiseGebiete,verstädterung
0,0.0,2017-10-27,11.5,10.0,14.0,,,285.4,22.3,,1019.7,,,,,,,,,,,,
1,1.0,2017-10-28,10.7,9.0,12.0,,,257.5,29.4,,1010.6,,,,,,,,,,,,
2,2.0,2017-10-29,10.4,8.0,13.0,,,305.6,41.1,,1002.3,,,,,,,,,,,,
3,3.0,2017-10-30,7.7,5.0,10.0,,,300.0,18.8,,1020.3,,,,,,,,,,,,
4,4.0,2017-10-31,7.8,6.0,10.0,,,244.2,14.5,,1021.7,,,,,,,,,,,,
5,5.0,2017-11-01,11.1,9.0,13.0,,,240.8,21.0,,1015.8,,,,,,,,,,,,
6,6.0,2017-11-02,9.8,7.0,13.0,,,257.5,15.1,,1010.1,,,,,,,,,,,,
7,7.0,2017-11-03,7.7,5.0,10.0,,,,10.0,,1014.8,,,,,,,,,,,,
8,8.0,2017-11-04,8.6,5.0,12.0,,,,8.6,,1007.4,,,,,,,,,,,,
9,9.0,2017-11-05,9.6,5.0,13.0,,,,,,1005.9,,,,,,,,,,,,
10,10.0,2017-11-06,5.0,2.0,10.0,,,,8.1,,1020.7,,,,,,,,,,,,
11,11.0,2017-11-07,2.8,0.0,5.0,,,,8.1,,,,,,,,,,,,,,
12,12.0,2017-11-08,7.5,5.0,10.0,,,,10.0,,1020.6,,,,,,,,,,,,
13,13.0,2017-11-09,7.5,6.0,9.0,,,,12.2,,1019.1,,,,,,,,,,,,
14,14.0,2017-11-10,7.8,5.0,10.0,,,244.2,23.1,,1008.5,,,,,,,,,,,,
15,15.0,2017-11-11,4.9,3.0,7.0,,,,,,1004.0,,,,,,,,,,,,
16,16.0,2017-11-12,3.9,2.0,6.0,,,,10.4,,1001.0,,,,,,,,,,,,
17,17.0,2017-11-13,4.2,0.0,9.0,,,,9.6,,,,,,,,,,,,,,
18,18.0,2017-11-14,4.2,0.0,8.0,,,242.9,14.4,,,,,,,,,,,,,,
19,19.0,2017-11-15,8.8,8.0,10.0,,,,10.3,,1023.1,,,,,,,,,,,,
20,20.0,2017-11-16,8.4,8.0,9.0,,,,11.9,,1021.6,,,,,,,,,,,,
21,21.0,2017-11-17,6.0,3.0,9.0,,,252.1,11.4,,1023.0,,,,,,,,,,,,
22,22.0,2017-11-18,5.2,4.0,7.0,,,242.5,23.2,,1012.0,,,,,,,,,,,,
23,23.0,2017-11-19,5.6,3.0,9.0,,,,,,1007.6,,,,,,,,,,,,
24,24.0,2017-11-20,4.5,3.0,6.0,,,,,,1012.6,,,,,,,,,,,,
25,25.0,2017-11-21,5.0,4.0,6.0,,,,7.1,,1007.7,,,,,,,,,,,,
26,26.0,2017-11-22,9.6,7.0,11.0,,,209.6,20.5,,1003.2,,,,,,,,,,,,
27,27.0,2017-11-23,10.8,7.0,14.0,,,,25.3,,1000.7,,,,,,,,,,,,
28,28.0,2017-11-24,5.9,2.0,8.0,,,,10.0,,1008.0,,,,,,,,,,,,
29,29.0,2017-11-25,2.8,1.0,4.0,,,,5.4,,1009.6,,,,,,,,,,,,
30,30.0,2017-11-26,3.5,1.0,5.0,,,230.4,23.4,,1013.5,,,,,,,,,,,,
31,31.0,2017-11-27,4.5,2.0,7.0,,,212.1,23.8,,1008.7,,,,,,,,,,,,
32,32.0,2017-11-28,5.7,5.0,7.0,,,226.7,27.5,,998.9,,,,,,,,,,,,
33,33.0,2017-11-29,3.8,3.0,5.0,,,220.8,13.4,,1002.7,,,,,,,,,,,,
34,34.0,2017-11-30,2.5,2.0,3.0,,,,7.7,,1003.4,,,,,,,,,,,,
35,35.0,2017-12-01,2.3,1.0,3.0,,,,9.4,,1014.5,,,,,,,,,,,,
36,36.0,2017-12-02,0.7,-2.0,2.0,,,,11.4,,,,,,,,,,,,,,
37,37.0,2017-12-03,2.7,0.0,5.0,,,,,,,,,,,,,,,,,,
38,38.0,2017-12-04,5.2,4.0,6.0,,,278.8,15.8,,1022.3,,,,,,,,,,,,
39,39.0,2017-12-05,7.6,6.0,8.0,,,267.5,26.3,,1026.1,,,,,,,,,,,,
40,40.0,2017-12-06,7.5,7.0,8.0,,,250.0,31.9,,1022.7,,,,,,,,,,,,
41,41.0,2017-12-07,6.5,5.0,8.0,,,222.5,29.6,,1009.1,,,,,,,,,,,,
42,42.0,2017-12-08,2.8,0.0,6.0,,,241.7,23.2,,,,,,,,,,,,,,
43,43.0,2017-12-09,1.6,0.0,3.0,,,239.2,23.1,,,,,,,,,,,,,,
44,44.0,2017-12-10,0.7,-1.0,2.0,,,170.0,19.6,,,,,,,,,,,,,,
45,45.0,2017-12-11,0.3,-1.0,1.0,,,,11.9,,,,,,,,,,,,,,
46,46.0,2017-12-12,1.2,1.0,2.0,,,227.5,16.8,,997.0,,,,,,,,,,,,
47,47.0,2017-12-13,2.0,1.0,4.0,,,198.3,21.9,,1000.3,,,,,,,,,,,,
48,48.0,2017-12-14,3.2,2.0,4.0,,,228.3,25.0,,986.0,,,,,,,,,,,,
49,49.0,2017-12-15,2.7,2.0,4.0,,,236.7,11.2,,994.4,,,,,,,,,,,,
