,Unnamed: 0,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun,name,km^2,bev,m,w,dichte,plz,longitude,latitude,reiseGebiete,verstädterung
0,0.0,2017-09-01,12.4,5.8,15.8,0.0,,,,,,,,,,,,,,,,,
1,1.0,2017-09-02,10.3,4.1,17.7,0.0,,,,,,,,,,,,,,,,,
2,2.0,2017-09-03,11.5,4.2,18.5,0.0,,,,,,,,,,,,,,,,,
3,3.0,2017-09-04,12.1,4.3,20.9,0.0,,,,,,,,,,,,,,,,,
4,4.0,2017-09-05,14.4,4.8,21.7,0.0,,,,,,,,,,,,,,,,,
5,5.0,2017-09-06,16.3,10.3,22.6,0.7,,,,,,,,,,,,,,,,,
6,6.0,2017-09-07,13.1,7.6,18.9,0.0,,,,,,,,,,,,,,,,,
7,7.0,2017-09-08,15.0,11.5,17.9,0.0,,,,,,,,,,,,,,,,,
8,8.0,2017-09-09,14.9,11.5,18.1,0.0,,,,,,,,,,,,,,,,,
9,9.0,2017-09-10,13.6,7.2,20.2,0.0,,,,,,,,,,,,,,,,,
10,10.0,2017-09-11,11.9,6.8,17.3,0.0,,,,,,,,,,,,,,,,,
11,11.0,2017-09-12,11.9,7.2,17.9,1.0,,,,,,,,,,,,,,,,,
12,12.0,2017-09-13,13.3,7.4,18.3,3.4,,,,,,,,,,,,,,,,,
13,13.0,2017-09-14,10.8,9.0,13.6,6.5,,,,,,,,,,,,,,,,,
14,14.0,2017-09-15,10.6,3.9,16.6,0.3,,,,,,,,,,,,,,,,,
15,15.0,2017-09-16,8.9,2.4,16.1,0.0,,,,,,,,,,,,,,,,,
16,16.0,2017-09-17,8.9,3.1,15.2,0.3,,,,,,,,,,,,,,,,,
17,17.0,2017-09-18,8.2,2.6,15.2,0.1,,,,,,,,,,,,,,,,,
18,18.0,2017-09-19,9.7,2.8,15.9,0.0,,,,,,,,,,,,,,,,,
19,19.0,2017-09-20,9.7,4.6,15.0,3.8,,,,,,,,,,,,,,,,,
20,20.0,2017-09-21,11.1,6.7,17.3,0.0,,,,,,,,,,,,,,,,,
21,21.0,2017-09-22,10.9,4.6,17.9,0.0,,,,,,,,,,,,,,,,,
22,22.0,2017-09-23,12.0,6.6,18.0,0.0,,,,,,,,,,,,,,,,,
23,23.0,2017-09-24,12.2,7.5,15.0,0.1,,,,,,,,,,,,,,,,,
24,24.0,2017-09-25,12.1,8.8,15.6,4.7,,,,,,,,,,,,,,,,,
25,25.0,2017-09-26,11.1,6.2,16.4,0.0,,,,,,,,,,,,,,,,,
26,26.0,2017-09-27,11.9,4.6,19.6,0.0,,,,,,,,,,,,,,,,,
27,27.0,2017-09-28,13.7,8.1,20.5,0.0,,,,,,,,,,,,,,,,,
28,28.0,2017-09-29,14.5,10.1,21.9,9.8,,,,,,,,,,,,,,,,,
29,29.0,2017-09-30,14.9,9.8,21.0,5.1,,,,,,,,,,,,,,,,,
30,30.0,2017-10-01,11.0,4.4,16.3,0.0,0.0,,,,,,,,,,,,,,,,
31,31.0,2017-10-02,11.0,4.2,14.3,12.4,0.0,,,,,,,,,,,,,,,,
32,32.0,2017-10-03,11.4,9.0,14.7,2.1,0.0,,,,,,,,,,,,,,,,
33,33.0,2017-10-04,10.7,7.3,13.0,4.8,0.0,,,,,,,,,,,,,,,,
34,34.0,2017-10-05,10.5,8.0,14.3,5.1,0.0,,,,,,,,,,,,,,,,
35,35.0,2017-10-06,9.5,7.8,11.3,0.5,0.0,,,,,,,,,,,,,,,,
36,36.0,2017-10-07,9.5,7.9,11.9,6.4,0.0,,,,,,,,,,,,,,,,
37,37.0,2017-10-08,9.1,2.5,13.0,1.8,0.0,,,,,,,,,,,,,,,,
38,38.0,2017-10-09,7.8,1.5,12.7,4.7,0.0,,,,,,,,,,,,,,,,
39,39.0,2017-10-10,11.4,8.9,14.0,1.4,0.0,,,,,,,,,,,,,,,,
40,40.0,2017-10-11,13.0,8.8,16.7,0.0,0.0,,,,,,,,,,,,,,,,
41,41.0,2017-10-12,12.9,5.7,17.2,0.0,0.0,,,,,,,,,,,,,,,,
42,42.0,2017-10-13,11.0,5.3,17.1,0.0,0.0,,,,,,,,,,,,,,,,
43,43.0,2017-10-14,13.6,6.6,21.2,0.0,0.0,,,,,,,,,,,,,,,,
44,44.0,2017-10-15,13.6,7.0,23.5,0.0,0.0,,,,,,,,,,,,,,,,
45,45.0,2017-10-16,14.0,5.7,24.0,0.0,0.0,,,,,,,,,,,,,,,,
46,46.0,2017-10-17,14.1,7.3,24.5,0.0,0.0,,,,,,,,,,,,,,,,
47,47.0,2017-10-18,11.7,4.9,22.1,0.0,0.0,,,,,,,,,,,,,,,,
48,48.0,2017-10-19,11.2,4.1,21.1,0.0,0.0,,,,,,,,,,,,,,,,
49,49.0,2017-10-20,11.4,3.8,18.2,1.3,0.0,,,,,,,,,,,,,,,,
50,50.0,2017-10-21,10.9,5.0,16.3,2.7,0.0,,,,,,,,,,,,,,,,
51,51.0,2017-10-22,9.0,5.3,11.7,3.5,0.0,,,,,,,,,,,,,,,,
52,52.0,2017-10-23,8.8,6.7,11.0,4.3,0.0,,,,,,,,,,,,,,,,
53,53.0,2017-10-24,10.3,4.9,14.3,0.0,0.0,,,,,,,,,,,,,,,,
54,54.0,2017-10-25,13.8,10.1,17.6,0.0,0.0,,,,,,,,,,,,,,,,
55,55.0,2017-10-26,11.3,7.2,15.1,5.7,0.0,,,,,,,,,,,,,,,,
