,Unnamed: 0,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun,name,km^2,bev,m,w,dichte,plz,longitude,latitude,reiseGebiete,verstädterung
0,0,2015-01-02,6.2,4.1,8.8,0.1,0.0,250.4,33.8,72.4,1021.4,96.0,,,,,,,,,,,
1,1,2015-01-03,3.9,2.8,5.2,0.6,0.0,250.8,24.8,52.2,1020.7,0.0,,,,,,,,,,,
2,2,2015-01-04,3.5,-0.5,6.3,0.0,0.0,277.5,18.4,44.6,1028.5,276.0,,,,,,,,,,,
3,3,2015-01-05,2.2,-0.7,3.8,0.0,0.0,238.3,14.4,37.8,1030.4,6.0,,,,,,,,,,,
4,4,2015-01-06,3.4,-0.5,4.4,1.1,0.0,166.7,9.4,27.0,1022.7,0.0,,,,,,,,,,,
5,5,2015-01-07,4.1,2.3,5.8,0.4,0.0,235.0,17.3,42.1,1024.4,276.0,,,,,,,,,,,
6,6,2015-01-08,5.4,2.8,7.3,11.9,0.0,232.9,24.5,51.5,1018.8,0.0,,,,,,,,,,,
7,7,2015-01-09,7.7,5.5,10.7,7.0,0.0,248.3,35.3,88.9,1013.1,0.0,,,,,,,,,,,
8,8,2015-01-10,9.7,4.5,12.7,3.2,0.0,260.0,40.7,85.3,1005.5,0.0,,,,,,,,,,,
9,9,2015-01-11,4.4,1.5,6.2,3.3,0.0,262.1,34.2,65.9,1011.5,144.0,,,,,,,,,,,
10,10,2015-01-12,7.0,5.5,9.1,2.9,0.0,236.7,34.9,65.5,1011.0,0.0,,,,,,,,,,,
11,11,2015-01-13,8.4,5.6,10.5,7.8,0.0,225.8,31.0,60.8,1003.5,0.0,,,,,,,,,,,
12,12,2015-01-14,3.9,1.7,6.7,1.9,0.0,230.8,23.0,53.3,1006.5,0.0,,,,,,,,,,,
13,13,2015-01-15,8.0,2.5,10.1,1.2,0.0,197.5,31.3,65.5,999.0,0.0,,,,,,,,,,,
14,14,2015-01-16,5.1,1.1,7.5,0.0,0.0,212.5,20.5,49.3,1004.0,108.0,,,,,,,,,,,
15,15,2015-01-17,1.8,-1.2,4.9,0.0,0.0,228.8,12.6,36.7,1012.5,378.0,,,,,,,,,,,
16,16,2015-01-18,1.1,0.3,2.3,1.1,0.0,184.6,12.6,26.6,1013.3,0.0,,,,,,,,,,,
17,17,2015-01-19,0.1,-3.0,2.4,0.0,0.0,159.2,5.8,18.4,1012.1,30.0,,,,,,,,,,,
18,18,2015-01-20,0.2,-3.9,1.6,0.0,0.0,253.8,4.3,15.1,1012.2,42.0,,,,,,,,,,,
19,19,2015-01-21,-2.1,-5.7,1.2,0.0,0.0,107.9,9.7,31.7,1014.9,150.0,,,,,,,,,,,
20,20,2015-01-22,-0.9,-2.4,0.6,0.0,0.0,52.5,9.0,26.6,1019.6,0.0,,,,,,,,,,,
21,21,2015-01-23,-1.6,-2.6,-0.6,0.0,0.0,141.7,8.3,31.0,1025.5,0.0,,,,,,,,,,,
22,22,2015-01-24,0.0,-1.6,1.9,3.4,0.0,235.8,14.8,31.3,1019.5,12.0,,,,,,,,,,,
23,23,2015-01-25,2.0,-3.3,4.4,1.9,10.0,254.2,12.2,27.7,1026.3,36.0,,,,,,,,,,,
24,24,2015-01-26,3.3,1.9,5.9,5.3,0.0,224.6,16.9,39.2,1018.2,0.0,,,,,,,,,,,
25,25,2015-01-27,3.2,1.8,5.1,1.8,0.0,282.5,14.0,36.0,1018.8,114.0,,,,,,,,,,,
26,26,2015-01-28,3.9,1.8,6.1,6.3,0.0,221.3,26.3,61.6,1003.5,0.0,,,,,,,,,,,
27,27,2015-01-29,1.4,0.0,3.2,5.6,0.0,219.2,24.8,59.8,983.3,18.0,,,,,,,,,,,
28,28,2015-01-30,-0.3,-4.6,0.9,9.0,20.0,202.1,8.3,23.8,974.1,12.0,,,,,,,,,,,
29,29,2015-01-31,0.2,-3.6,2.1,0.0,70.0,212.9,12.6,32.4,980.1,288.0,,,,,,,,,,,
